"Country","Total Cases","New Cases","Total Deaths","New Deaths","Total Recovered","Active Cases","Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,"Total Tests",Tests/1M pop,CASES per Test,Death in Closed Cases,Rank by Testing rate,Rank by Death rate,Rank by Cases rate,Rank by Death of Closed Cases 
Libya,"9,707.00",244,173,4,"1,047.00","8,487.00",,"1,410.00",25,"88,492.00","12,855.00","6,883,928",14.18%,144,103,105,14
Malaysia,"9,240.00",5,125,,"8,932.00",183,7,285,4,"1,152,140.00","35,535.00","32,422,234",1.38%,105,162,167,160
Guinea,"8,876.00",84,53,,"7,628.00","1,195.00",24,674,4,"16,975.00","1,288.00","13,178,580",0.69%,190,162,137,180
French Guiana,"8,743.00",32,54,,"8,189.00",500,17,"29,174.00",180,"48,382.00","161,444.00","299,682",0.66%,31,33,2,181
Gabon,"8,319.00",,53,,"6,614.00","1,652.00",1,"3,726.00",24,"104,420.00","46,771.00","2,232,578",0.79%,90,104,64,173
Tajikistan,"8,203.00",37,66,1,"7,006.00","1,131.00",,858,7,,,"9,565,683",0.93%,,146,129,170
Haiti,"7,997.00",48,196,,"5,447.00","2,354.00",,700,17,"21,400.00","1,874.00","11,421,419",3.47%,184,118,135,88
Albania,"7,967.00",155,238,4,"3,986.00","3,743.00",15,"2,769.00",83,"49,172.00","17,089.00","2,877,351",5.63%,133,58,82,50
Greece,"7,934.00",250,235,,"3,804.00","3,895.00",30,762,23,"816,450.00","78,386.00","10,415,735",5.82%,62,107,130,47
Finland,"7,842.00",37,334,,"7,100.00",408,,"1,415.00",60,"517,936.00","93,458.00","5,541,933",4.49%,55,72,104,69
Luxembourg,"7,637.00",71,124,,"6,903.00",610,3,"12,174.00",198,"706,629.00","1,126,386.00","627,342",1.76%,4,32,16,148
Croatia,"7,329.00",255,168,,"5,472.00","1,689.00",13,"1,787.00",41,"144,521.00","35,235.00","4,101,613",2.98%,107,86,94,103
Mauritania,"6,848.00",19,158,,"6,123.00",567,3,"1,468.00",34,"68,872.00","14,762.00","4,665,419",2.52%,138,93,103,118
Maldives,"6,370.00",145,24,,"3,915.00","2,431.00",12,"11,757.00",44,"100,233.00","184,996.00","541,813",0.61%,25,84,17,185
Zimbabwe,"5,745.00",102,151,1,"4,525.00","1,069.00",,386,10,"149,748.00","10,056.00","14,892,083",3.23%,150,134,157,95
Djibouti,"5,374.00",,59,,"5,216.00",99,,"5,429.00",60,"63,471.00","64,116.00","989,936",1.12%,73,72,48,166
Malawi,"5,282.00",42,165,1,"2,883.00","2,234.00",4,275,9,"41,026.00","2,137.00","19,193,810",5.41%,181,137,168,54
Hungary,"5,046.00",44,609,,"3,678.00",759,7,523,63,"390,079.00","40,394.00","9,656,850",14.21%,102,70,148,13
Namibia,"4,912.00",247,41,2,"2,442.00","2,429.00",18,"1,929.00",16,"45,744.00","17,960.00","2,547,027",1.65%,131,122,92,150
